job_id,file,vendor,date,total,confidence,source,status,retry_count,last_error
07429cfb-a8d8-4708-bda9-5fb8af38f99b,C:\Users\Acer\Desktop\emmaRobot\images\X51005719905.jpg,SAINT HEART PASTRY (-H),2018-03-26,8.2,0.8270624999999999,OCR_RULE,SUCCESS,0,
1a3e778c-3ff2-4201-9407-3f9d62d3a8b9,C:\Users\Acer\Desktop\emmaRobot\images\X51007262330.jpg,SWC ENTERPRISE SDN BHD,2018-03-23,41.2,0.8461458333333333,OCR_RULE,SUCCESS,0,
1b0a635e-ef48-4c6a-b312-09d0ebde3de2,C:\Users\Acer\Desktop\emmaRobot\images\X51005444033.jpg,BENS INDEPENDENT GROCER,2018-03-12,77.2,0.85,LLM,SUCCESS,0,
31d0c7c9-7d08-470b-ad6d-c1dce7d7d9f6,C:\Users\Acer\Desktop\emmaRobot\images\X00016469670.jpg,OJC MARKETING SDN BHD,2019-01-15,193.0,0.7717708333333334,OCR_RULE,SUCCESS,0,
32b6e74d-b39f-44be-96b0-fb39abe8a130,C:\Users\Acer\Desktop\emmaRobot\images\X51007228448.jpg,KFA SUPPLY,2018-05-27,11.6,0.7923749999999999,OCR_RULE,SUCCESS,0,
3c4dd543-6652-49d4-83ff-a2297a9e7266,C:\Users\Acer\Desktop\emmaRobot\images\X51007262315.jpg,Gerbang Alaf Restaurants Sdn Bhd (-M),2018-05-21,70.3,0.8290416666666666,OCR_RULE,SUCCESS,0,
403a176a-1238-4904-a977-1db19bb3dab0,C:\Users\Acer\Desktop\emmaRobot\images\X51007225406.jpg,UNIPHARM PHARMACY,2018-04-05,24.9,0.85,LLM,SUCCESS,0,
5a2968c9-21db-487e-bbf6-01809ec6a866,C:\Users\Acer\Desktop\emmaRobot\images\X51007262328.jpg,FARMAS LIGAMAS (-W),2018-05-20,25.0,0.8958124999999999,OCR_RULE,SUCCESS,0,
5c8ad7c3-dde1-4c06-93ee-a763bfec5cd3,C:\Users\Acer\Desktop\emmaRobot\images\X51007846400.jpg,NAM SAN SEOUL KOREAN BBQ,2018-06-19,152.9,0.85,LLM,SUCCESS,0,
5e4186be-2256-4148-a988-33942fc0b5d5,C:\Users\Acer\Desktop\emmaRobot\images\X51005763940.jpg,Harvey Norman,2018-02-11,60.0,0.85,LLM,SUCCESS,0,
61dc107b-dbaa-447c-94f3-417e434ab07a,C:\Users\Acer\Desktop\emmaRobot\images\X51005230657.jpg,CROSS CHANNEL NETWORK SDN. BHD.,2017-12-31,7.95,0.85,LLM,SUCCESS,0,
